,cluster1_id,cluster2_id,rule,confidence_1,confidence_2,abs_difference_confidence,abs_coverage_difference
24,0,X,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9648562300319488,0.03514376996805124,0.24442798829606618
25,0,X,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.23509012751508143
27,0,X,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.23509012751508143
28,0,X,"frozenset({'wife_edu_4', 'age_children_interaction_(90.0, 168.0]', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9402985074626865,0.059701492537313494,0.09247552649640574
30,0,X,"frozenset({'wife_edu_4', 'age_children_interaction_(90.0, 168.0]', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9402985074626865,0.059701492537313494,0.09247552649640574
33,0,X,"frozenset({'wife_edu_4', 'wife_age_(32.0, 39.0]', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9393939393939393,0.06060606060606066,0.09077773362713579
35,0,X,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]', 'wife_age_(32.0, 39.0]'})",1.0,0.9393939393939393,0.06060606060606066,0.09077773362713579
29,0,X,"frozenset({'wife_edu_4', 'age_children_interaction_(90.0, 168.0]', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.08568435501932593
31,0,X,"frozenset({'wife_edu_4', 'age_children_interaction_(90.0, 168.0]', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.08568435501932593
32,0,X,"frozenset({'wife_edu_4', 'wife_age_(32.0, 39.0]', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.08398656215005598
34,0,X,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]', 'wife_age_(32.0, 39.0]'})",1.0,1.0,0.0,0.08398656215005598
37,1,X,"frozenset({'num_children_(5.0, 16.0]', 'age_children_interaction_(168.0, 768.0]'})",0.6521739130434783,0.9948717948717948,0.3426978818283165,0.06786002919451944
36,1,X,"frozenset({'num_children_(5.0, 16.0]', 'age_children_interaction_(168.0, 768.0]'})",0.9939759036144578,0.9948717948717948,0.0008958912573370226,0.012398273388506381
