,cluster1_id,cluster2_id,rule,confidence_1,confidence_2,abs_difference_confidence,abs_coverage_difference
14,3,4,"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.4986666666666667,0.548148148148148,0.04948148148148135,0.06824133763094281
11,3,4,"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.6404109589041096,0.6851851851851851,0.044774226281075524,0.06372549019607843
41,3,X,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.42105263157894735,0.7623762376237624,0.34132360604481504,0.06156943708208948
1,3,4,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.4963503649635036,0.48148148148148145,0.014868883482022144,0.05712798818157401
31,3,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3', 'standard_of_living_index_4'})",0.4521739130434782,0.48148148148148145,0.02930756843800325,0.054928357738938755
49,4,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3', 'standard_of_living_index_4'})",0.5,0.5199999999999999,0.019999999999999907,0.05476673427991888
0,3,4,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.5112781954887218,0.48148148148148145,0.02979671400724032,0.05256177813591191
27,3,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.49707602339181284,0.40816326530612246,0.08891275808569038,0.052479924421350965
60,6,X,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.75,0.7623762376237624,0.012376237623762387,0.050835435855346486
43,3,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.7692307692307693,0.6116504854368933,0.157580283793876,0.05080954905188367
16,3,4,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.7692307692307693,0.6216216216216217,0.14760914760914756,0.04698831587429492
5,3,4,"frozenset({'age_children_interaction_(42.0, 87.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.6,0.5588235294117647,0.04117647058823526,0.045091324200913246
37,3,6,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.7272727272727273,0.75,0.022727272727272707,0.04406051932120221
32,3,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3', 'standard_of_living_index_4'})",0.4521739130434782,0.5199999999999999,0.0678260869565217,0.04113525429066289
55,4,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.851851851851852,0.6116504854368933,0.2402013664149587,0.04058593905994169
38,3,6,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.42105263157894735,1.0,0.5789473684210527,0.04058474749539971
13,3,4,"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.4986666666666667,0.6851851851851851,0.18651851851851842,0.031023368251410166
56,4,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.6216216216216217,0.802547770700637,0.18092614907901527,0.029444211493151226
8,3,4,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.3953488372093023,0.6499999999999999,0.2546511627906976,0.02464410421702927
47,3,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.5882352941176471,0.6116504854368933,0.023415191319246187,0.023412288777911072
6,3,4,"frozenset({'age_children_interaction_(42.0, 87.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.46153846153846156,0.5588235294117647,0.09728506787330315,0.02111872146118722
59,6,X,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",1.0,0.7623762376237624,0.2376237623762376,0.020984689586689767
23,3,5,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_2'})",0.4430379746835443,0.5625,0.11946202531645572,0.020162179184380416
20,3,4,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.5882352941176471,0.6216216216216217,0.03338632750397463,0.019591055600322316
42,3,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.7692307692307693,0.802547770700637,0.03331700146986771,0.01754410438114369
19,3,4,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.5882352941176471,0.851851851851852,0.2636165577342049,0.01717365028203062
36,3,6,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.7272727272727273,1.0,0.2727272727272727,0.01420977305254549
9,3,4,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3', 'standard_of_living_index_4'})",0.4521739130434782,0.5,0.047826086956521796,0.013631479989255985
7,3,4,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.6181818181818182,0.6499999999999999,0.031818181818181746,0.010744023636852007
39,3,6,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.42105263157894735,0.75,0.32894736842105265,0.010734001226742992
15,3,4,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.7692307692307693,0.851851851851852,0.0826210826210827,0.010223609991941982
10,3,4,"frozenset({'husband_occupation_3', 'standard_of_living_index_2'})",0.5789473684210525,0.5909090909090908,0.011961722488038284,0.009938221864088104
46,3,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.5882352941176471,0.802547770700637,0.2143124765829899,0.00985315589282891
25,3,5,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_2'})",0.39325842696629215,0.5625,0.16924157303370785,0.008746654070225166
54,4,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.851851851851852,0.802547770700637,0.049304081151214985,0.007320494389201709
4,3,4,"frozenset({'standard_of_living_index_3', 'husband_occupation_3', 'age_children_interaction_(42.0, 87.0]'})",0.5061728395061729,0.4444444444444445,0.06172839506172839,0.006798952457695406
40,3,X,"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.7272727272727273,0.7623762376237624,0.035103510351035094,0.006774916534144276
24,3,5,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_2'})",0.4430379746835443,0.6428571428571429,0.19981916817359863,0.006369075736104554
26,3,5,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_2'})",0.39325842696629215,0.6428571428571429,0.24959871589085075,0.005046449378050696
3,3,4,"frozenset({'standard_of_living_index_3', 'husband_occupation_3', 'age_children_interaction_(42.0, 87.0]'})",0.5061728395061729,0.5,0.006172839506172867,0.004230459307010465
57,4,X,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",0.6216216216216217,0.6116504854368933,0.009971136184728446,0.0038212331775887565
